Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,999.0,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,days_of_inventory,tier,reorder_threshold
20-10-30,ADRIAN,102662,FA25,ADRIAN - REVERSIBLE BOMBER W/ ZIP FRONT & HOOD,BLACK,990.M.,0135729110097,647.0,12.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,32,20.0,12940.0,30,best_sellers,500
20-30-20,ATTICUS LARGE WALLET,102755,SP25,ATTICUS - LARGE WALLET W/ STUDS DETAIL & SH. STRAP,BLACK,990.NS.,0135729110916,149.0,5.0,10.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3,94,86.0,12814.0,30,best_sellers,500
10-10-30,MONACO REVERSIBLE JACKET,102749,SP25,MONACO - REVERSIBLE JACKET W/BAND COLLAR ZIP FRONT,BLACK,990.S.,0135729111262,577.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0,24,22.0,12694.0,30,best_sellers,500
10-10-10,JOSEPHINE,102768,SP25,JOSEPHINE - LEATHER TRENCH COAT W/BELT,CARAMEL,710.S.,0135729110949,599.0,11.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,34,21.0,12579.0,30,best_sellers,500
10-10-10,JOSEPHINE,102768,SP25,JOSEPHINE - LEATHER TRENCH COAT W/BELT,CARAMEL,710.M.,0135729110950,599.0,13.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,34,21.0,12579.0,30,best_sellers,500
10-30-10,MONACO LEATHER LAPTOP,102716,SP25,MONACO - LEATHER LAPTOP W/FRONT ZIP COMPARTMENT,BLUE,400.NS.,0135729110657,299.0,0.0,4.0,3.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,1,43,42.0,12558.0,30,best_sellers,500
20-30-10,STETSON SLING,102761,SP25,STETSON - SLING W/DOUBLE ZIP COMPARTMENTS,DARK BROWN,890.NS.,0135729110932,199.0,24.0,15.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,0,87,63.0,12537.0,30,best_sellers,500
10-10-30,SIMONE,102744,SP25,SIMONE - MOTOCROSS BOMBER W/ CHEST POCKETS,BLACK,990.M.,0135729110835,567.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0,28,22.0,12474.0,30,best_sellers,500
10-30-10,RHEA LARGE SATCHEL,102723,SP25,RHEA - LARGE SATCHEL W/ DOUBLE-ENTRY,DRIFTWOOD,857.NS.,0135729110706,249.0,46.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1,97,50.0,12450.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,BLACK,990.S,0135729100744,537.0,13.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,36,23.0,12351.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,RED,620L,0135729102784,537.0,0.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0,23,23.0,12351.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,RED,620XL,0135729102786,537.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,26,23.0,12351.0,30,best_sellers,500
20-30-10,STETSON SLING,102761,SP25,STETSON - SLING W/DOUBLE ZIP COMPARTMENTS,BLACK,990.NS.,0135729110933,199.0,76.0,14.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,1,139,62.0,12338.0,30,best_sellers,500
20-20-10,TONI,102787,SP25,TONI - BLAZER W/BUTTON FRONT & FLAP POCKETS,CHARCOAL,940.M.,0135729111058,647.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,23,19.0,12293.0,30,best_sellers,500
20-20-10,TONI,102787,SP25,TONI - BLAZER W/BUTTON FRONT & FLAP POCKETS,CHARCOAL,940.XL.,0135729111056,647.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,19,19.0,12293.0,30,best_sellers,500
10-30-10,COLETTE LARGE BUCKET,102720,SP25,COLETTE - LARGE BUCKET BAG W/FRT TIE & METAL ENDS,CARAMEL,710.NS.,0135729110697,249.0,17.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1,67,49.0,12201.0,30,best_sellers,500
10-30-10,RHEA LARGE SATCHEL,102723,SP25,RHEA - LARGE SATCHEL W/ DOUBLE-ENTRY,SAGE,312.NS.,0135729110705,249.0,46.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1,96,49.0,12201.0,30,best_sellers,500
20-10-20,BOSTON REVERSIBLE HOODIE,102793,FA26,BOSTON - REVERSIBLE LEATHER & NYLON BOMBER W/HOOD,BLACK/NAVY,911.XL.,0135729111146,677.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,19,18.0,12186.0,30,best_sellers,500
10-20-10,MONACO BLAZER,102770,SP25,MONACO - LEATHER BLAZER W/ 3-BUTTON FRONT CLOSURE,BLACK,990.M.,0135729110982,577.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,21,21.0,12117.0,30,best_sellers,500
10-20-10,MONACO BLAZER,102770,SP25,MONACO - LEATHER BLAZER W/ 3-BUTTON FRONT CLOSURE,BLACK,990.S.,0135729110981,577.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,24,21.0,12117.0,30,best_sellers,500
10-10-30,MONACO REVERSIBLE JACKET,102749,SP25,MONACO - REVERSIBLE JACKET W/BAND COLLAR ZIP FRONT,BLACK,990.M.,0135729111263,577.0,0.0,5.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0,21,21.0,12117.0,30,best_sellers,500
20-10-30,JAXON,100552,KI00,JAXON - BOMBER WITH DETACHABLE FABRIC HOOD,BLACK,990.XL,9135729065397,547.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0,33,22.0,12034.0,30,best_sellers,500
20-10-30,JAXON,100552,KI00,JAXON - BOMBER WITH DETACHABLE FABRIC HOOD,WHISKEY,733.XL,0135729100141,547.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,28,22.0,12034.0,30,best_sellers,500
20-10-30,HAYDEN,100980,KI00,HAYDEN - BOMBER W/KNIT COLLAR STORM INSERT,MEDIUM GREY,931.XL,0135729100637,547.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,22,22.0,12034.0,30,best_sellers,500
10-30-10,COLETTE LARGE BUCKET,102720,SP25,COLETTE - LARGE BUCKET BAG W/FRT TIE & METAL ENDS,IVORY,113.NS.,0135729110696,249.0,18.0,3.0,3.0,6.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1,67,48.0,11952.0,30,best_sellers,500
10-10-30,LENAH,102745,SP25,LENAH - CLEAN CLASSIC BIKER BOMBER,BLACK,990.S.,0135729110842,597.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,27,20.0,11940.0,30,best_sellers,500
10-10-30,SIMONE,102744,SP25,SIMONE - MOTOCROSS BOMBER W/ CHEST POCKETS,BLACK,990.S.,0135729110834,567.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,29,21.0,11907.0,30,best_sellers,500
20-10-30,CORBAN,101654,KI00,CORBAN - BOMBER W/ELBOW PANELS & SIDE TABS,BLACK,990.2XL,0135729100747,537.0,18.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2,42,22.0,11814.0,30,best_sellers,500
10-30-10,RHEA LARGE SATCHEL,102723,SP25,RHEA - LARGE SATCHEL W/ DOUBLE-ENTRY,BLACK,990.NS.,0135729110707,249.0,118.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0,165,47.0,11703.0,30,best_sellers,500
20-20-10,TONI,102787,SP25,TONI - BLAZER W/BUTTON FRONT & FLAP POCKETS,CHARCOAL,940.S.,0135729111057,647.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,19,18.0,11646.0,30,best_sellers,500
